agestart,female,male
0,6.9359487766238335,7.036154872968374
5,6.624053863756381,6.576288652232589
10,6.74864680513994,6.464347532711377
15,6.4674646482426805,5.95259050636625
20,5.821671654051517,4.87370181306108
25,4.590502699055331,3.9359084374816637
30,3.2087953998709144,2.9872968374112543
35,2.6357045414539693,2.397795282520683
40,2.2136104265680925,1.8604595728451565
45,1.8443239159772338,1.5256446928357683
50,1.398026315789474,1.2328191926304055
55,1.115744000469401,0.983266590389016
60,1.0542268086604472,0.7535168397582584
65,0.7316053511705686,0.544578419292378
70,0.3971571906354515,0.2942923781024468
75,0.23818429853898962,0.15842281288505547
80,0.15448057853664263,0.08847107316786952
85,0.07581925130552135,0.038322185061315496
90,0.023011647010502845,0.011184943965264331
95,0.004125594085548319,0.0018335973713548084
