Time,AgeGrp,ASFR
1990,15,0.044067449
1991,15,0.044092811
1992,15,0.043713996
1993,15,0.043507012
1994,15,0.042397855
1995,15,0.040161979
1996,15,0.037522721
1997,15,0.035934209
1998,15,0.035103228
1999,15,0.033834786
2000,15,0.032291487
2001,15,0.030011692
2002,15,0.027690735
2003,15,0.026225673
2004,15,0.025398314
2005,15,0.025314084
2006,15,0.025477024
2007,15,0.024950116
2008,15,0.024165843
2009,15,0.023123158
2010,15,0.021743272
2011,15,0.020258583
2012,15,0.01851178
2013,15,0.01670263
2014,15,0.015149961
2015,15,0.013710821
2016,15,0.012654743
2017,15,0.011934829
2018,15,0.011346625
2019,15,0.010441943
2020,15,0.009403967
2021,15,0.008730062
1990,20,0.091042861
1991,20,0.08867318
1992,20,0.086138014
1993,20,0.08469166
1994,20,0.083952825
1995,20,0.082714552
1996,20,0.081879231
1997,20,0.082008578
1998,20,0.082543833
1999,20,0.082645257
2000,20,0.081660812
2001,20,0.079504223
2002,20,0.077243511
2003,20,0.075591297
2004,20,0.074743524
2005,20,0.075168096
2006,20,0.075632994
2007,20,0.074178482
2008,20,0.072762895
2009,20,0.070405529
2010,20,0.066661777
2011,20,0.064371997
2012,20,0.062383734
2013,20,0.060237844
2014,20,0.058221548
2015,20,0.056060718
2016,20,0.053958182
2017,20,0.052740668
2018,20,0.051838408
2019,20,0.050165307
2020,20,0.04802479
2021,20,0.046520962
1990,25,0.116175028
1991,25,0.113549169
1992,25,0.110508889
1993,25,0.107560945
1994,25,0.104329473
1995,25,0.100531267
1996,25,0.097333513
1997,25,0.096654657
1998,25,0.097465791
1999,25,0.099123279
2000,25,0.100046973
2001,25,0.099695899
2002,25,0.100174104
2003,25,0.100054136
2004,25,0.098936861
2005,25,0.098874262
2006,25,0.100121434
2007,25,0.101042878
2008,25,0.099713692
2009,25,0.094983318
2010,25,0.091217627
2011,25,0.089357014
2012,25,0.087053314
2013,25,0.086066455
2014,25,0.085354825
2015,25,0.083800647
2016,25,0.081464088
2017,25,0.079322506
2018,25,0.077894622
2019,25,0.075113273
2020,25,0.073018134
2021,25,0.072287144
1990,30,0.092048751
1991,30,0.091635934
1992,30,0.091927468
1993,30,0.091852877
1994,30,0.09220043
1995,30,0.092468081
1996,30,0.092265235
1997,30,0.092479712
1998,30,0.093273566
1999,30,0.09566646
2000,30,0.097349202
2001,30,0.097720031
2002,30,0.099945649
2003,30,0.102416305
2004,30,0.102624948
2005,30,0.103699019
2006,30,0.106450198
2007,30,0.106611708
2008,30,0.104667539
2009,30,0.103417013
2010,30,0.102376832
2011,30,0.102126234
2012,30,0.101631632
2013,30,0.102211684
2014,30,0.103352756
2015,30,0.103385233
2016,30,0.102264807
2017,30,0.101536679
2018,30,0.101128889
2019,30,0.098154347
2020,30,0.097106767
2021,30,0.096725859
1990,35,0.039833753
1991,35,0.040798459
1992,35,0.041786768
1993,35,0.042718682
1994,35,0.043271291
1995,35,0.043645041
1996,35,0.044142819
1997,35,0.045068002
1998,35,0.046487804
1999,35,0.048045598
2000,35,0.049460012
2001,35,0.050703525
2002,35,0.052663905
2003,35,0.054758977
2004,35,0.055898142
2005,35,0.056752686
2006,35,0.057650291
2007,35,0.057570972
2008,35,0.057190381
2009,35,0.058169594
2010,35,0.059994454
2011,35,0.061385582
2012,35,0.062265876
2013,35,0.06305621
2014,35,0.064029605
2015,35,0.064957948
2016,35,0.065655291
2017,35,0.066785134
2018,35,0.067307707
2019,35,0.066094129
2020,35,0.065854866
2021,35,0.066918829
1990,40,0.007349233
1991,40,0.007681223
1992,40,0.008159036
1993,40,0.008565382
1994,40,0.008922927
1995,40,0.009232104
1996,40,0.009658368
1997,40,0.010230096
1998,40,0.010441612
1999,40,0.010695482
2000,40,0.011065982
2001,40,0.01126493
2002,40,0.011855599
2003,40,0.012467897
2004,40,0.012691289
2005,40,0.012836484
2006,40,0.013098761
2007,40,0.013321535
2008,40,0.013570595
2009,40,0.01407329
2010,40,0.014344315
2011,40,0.014688975
2012,40,0.014923906
2013,40,0.015007403
2014,40,0.015539549
2015,40,0.016305454
2016,40,0.017017124
2017,40,0.017715534
2018,40,0.01809015
2019,40,0.017715143
2020,40,0.017329996
2021,40,0.018066624
1990,45,0.000283366
1991,45,0.000313777
1992,45,0.000364085
1993,45,0.000411579
1994,45,0.000448026
1995,45,0.00048718
1996,45,0.000532182
1997,45,0.000582258
1998,45,0.000645712
1999,45,0.000710782
2000,45,0.000779744
2001,45,0.00085986
2002,45,0.000915618
2003,45,0.000946447
2004,45,0.000974083
2005,45,0.001012731
2006,45,0.001081431
2007,45,0.001162901
2008,45,0.001237549
2009,45,0.001292038
2010,45,0.001315215
2011,45,0.001342716
2012,45,0.001414327
2013,45,0.001498186
2014,45,0.001585264
2015,45,0.001650105
2016,45,0.001685257
2017,45,0.001721197
2018,45,0.001745312
2019,45,0.001746289
2020,45,0.001769893
2021,45,0.001889837
